uid,name,element,level,cons,weapon
1ca0039c218411ee8a8528c2dd2980ba,Trailblazer,fire,67,5,Texture of Memories
1ca0039c218411ee8a8528c2dd2980ba,Clara,physical,67,0,The Moles Welcome You
1ca0039c218411ee8a8528c2dd2980ba,Seele,quantum,67,0,In the Night
1ca0039c218411ee8a8528c2dd2980ba,Tingyun,lightning,67,3,Dance! Dance! Dance!
1ca0039c218411ee8a8528c2dd2980ba,Dan Heng,wind,67,1,River Flows in Spring
1ca0039c218411ee8a8528c2dd2980ba,Bronya,wind,60,1,But the Battle Isn't Over
1ca0039c218411ee8a8528c2dd2980ba,Welt,imaginary,60,0,Resolution Shines As Pearls of Sweat
1ca0039c218411ee8a8528c2dd2980ba,March 7th,ice,60,6,We Are Wildfire
1c9f4044218411ee8be628c2dd2980ba,Trailblazer,fire,60,5,Landau's Choice
1c9f4044218411ee8be628c2dd2980ba,Bailu,lightning,60,1,Quid Pro Quo
1c9f4044218411ee8be628c2dd2980ba,Silver Wolf,quantum,60,0,Before the Tutorial Mission Starts
1c9f4044218411ee8be628c2dd2980ba,Serval,lightning,60,6,The Seriousness of Breakfast
1c9f4044218411ee8be628c2dd2980ba,Hook,fire,50,0,Collapsing Sky
1c9f4044218411ee8be628c2dd2980ba,March 7th,ice,50,0,Day One of My New Life
1c9f4044218411ee8be628c2dd2980ba,Tingyun,lightning,40,1,But the Battle Isn't Over
1c9f4044218411ee8be628c2dd2980ba,Natasha,physical,40,2,Perfect Timing
1ca0039d218411ee992e28c2dd2980ba,Trailblazer,fire,70,5,Trend of the Universal Market
1ca0039d218411ee992e28c2dd2980ba,Seele,quantum,70,0,In the Night
1ca0039d218411ee992e28c2dd2980ba,Bronya,wind,70,0,But the Battle Isn't Over
1ca0039d218411ee992e28c2dd2980ba,Silver Wolf,quantum,70,0,Before the Tutorial Mission Starts
1ca0039d218411ee992e28c2dd2980ba,Tingyun,lightning,70,2,Dance! Dance! Dance!
1ca0039d218411ee992e28c2dd2980ba,Hook,fire,70,5,On the Fall of an Aeon
1ca0039d218411ee992e28c2dd2980ba,Sampo,wind,70,2,Good Night and Sleep Well
1ca0039d218411ee992e28c2dd2980ba,Natasha,physical,70,6,Shared Feeling
1ca0039e218411eeb93928c2dd2980ba,Trailblazer,fire,70,5,Landau's Choice
1ca0039e218411eeb93928c2dd2980ba,Bailu,lightning,70,0,Time Waits for No One
1ca0039e218411eeb93928c2dd2980ba,Yanqing,ice,70,1,Swordplay
1ca0039e218411eeb93928c2dd2980ba,Jing Yuan,lightning,70,1,Before Dawn
1ca0039e218411eeb93928c2dd2980ba,Gepard,ice,70,1,Moment of Victory
1ca0039e218411eeb93928c2dd2980ba,Seele,quantum,70,1,Sleep Like the Dead
1ca0039e218411eeb93928c2dd2980ba,Bronya,wind,70,1,But the Battle Isn't Over
1ca0039e218411eeb93928c2dd2980ba,Tingyun,lightning,70,6,Dance! Dance! Dance!
1ca0039f218411ee90c428c2dd2980ba,Jing Yuan,lightning,70,0,The Seriousness of Breakfast
1ca0039f218411ee90c428c2dd2980ba,Trailblazer,fire,68,2,Day One of My New Life
1ca0039f218411ee90c428c2dd2980ba,Clara,physical,68,1,A Secret Vow
1ca0039f218411ee90c428c2dd2980ba,Gepard,ice,68,0,Moment of Victory
1ca0039f218411ee90c428c2dd2980ba,Tingyun,lightning,68,2,Planetary Rendezvous
1ca0039f218411ee90c428c2dd2980ba,Asta,fire,68,2,Dance! Dance! Dance!
1ca0039f218411ee90c428c2dd2980ba,Dan Heng,wind,68,5,Cruising in the Stellar Sea
1ca0039f218411ee90c428c2dd2980ba,Natasha,physical,64,2,Quid Pro Quo
1ca003a0218411eea3e928c2dd2980ba,Trailblazer,fire,70,5,Trend of the Universal Market
1ca003a0218411eea3e928c2dd2980ba,Yanqing,ice,70,0,Cruising in the Stellar Sea
1ca003a0218411eea3e928c2dd2980ba,Himeko,fire,70,0,The Seriousness of Breakfast
1ca003a0218411eea3e928c2dd2980ba,Sushang,physical,70,3,Only Silence Remains
