uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4
d9d3f898e67b11ee824828c2dd2980ba,12,1,5,3,Bronya,Blade,Ruan Mei,Pela
d9d3f898e67b11ee824828c2dd2980ba,12,2,5,3,Qingque,Silver Wolf,Sparkle,Fu Xuan
d9d3f898e67b11ee824828c2dd2980ba,11,1,2,3,Qingque,Sparkle,Tingyun,Huohuo
d9d3f898e67b11ee824828c2dd2980ba,11,2,2,3,Bronya,Blade,Ruan Mei,Fu Xuan
d9d3f898e67b11ee824828c2dd2980ba,10,1,1,3,Bronya,Blade,Ruan Mei,Fu Xuan
d9d3f898e67b11ee824828c2dd2980ba,10,2,1,3,Qingque,Sparkle,Tingyun,Huohuo
d9d3f899e67b11ee87f428c2dd2980ba,12,1,4,3,Fu Xuan,Dan Heng • Imbibitor Lunae,Tingyun,Sparkle
d9d3f899e67b11ee87f428c2dd2980ba,12,2,4,3,Kafka,Ruan Mei,Black Swan,Luocha
d9d3f899e67b11ee87f428c2dd2980ba,11,1,3,3,Fu Xuan,Jingliu,Silver Wolf,Sparkle
d9d3f899e67b11ee87f428c2dd2980ba,11,2,3,3,Kafka,Ruan Mei,Black Swan,Luocha
d9d3f899e67b11ee87f428c2dd2980ba,10,1,1,3,Fu Xuan,Jingliu,Bronya,Sparkle
d9d3f899e67b11ee87f428c2dd2980ba,10,2,1,3,Kafka,Ruan Mei,Black Swan,Luocha
d9d3f89ae67b11ee8a4528c2dd2980ba,12,1,9,3,Luocha,Dan Heng • Imbibitor Lunae,Blade,Ruan Mei
d9d3f89ae67b11ee8a4528c2dd2980ba,12,2,9,3,Fu Xuan,Seele,Sparkle,Silver Wolf
d9d3f89ae67b11ee8a4528c2dd2980ba,11,1,6,3,Fu Xuan,Silver Wolf,Seele,Sparkle
d9d3f89ae67b11ee8a4528c2dd2980ba,11,2,6,3,Huohuo,Kafka,Black Swan,Ruan Mei
d9d3f89ae67b11ee8a4528c2dd2980ba,10,1,4,3,Jingliu,Blade,Luocha,Ruan Mei
d9d3f89ae67b11ee8a4528c2dd2980ba,10,2,4,3,Huohuo,Kafka,Silver Wolf,Black Swan
d9d3f89be67b11ee962028c2dd2980ba,12,1,10,3,Huohuo,Black Swan,Sampo,Clara
d9d3f89be67b11ee962028c2dd2980ba,12,2,10,3,Fu Xuan,Dr. Ratio,Kafka,Ruan Mei
d9d3f89be67b11ee962028c2dd2980ba,11,1,8,3,Huohuo,Kafka,Sampo,Clara
d9d3f89be67b11ee962028c2dd2980ba,11,2,8,3,Fu Xuan,Guinaifen,Black Swan,Ruan Mei
d9d3f89be67b11ee962028c2dd2980ba,10,1,4,3,Fu Xuan,Black Swan,Jingliu,Ruan Mei
d9d3f89be67b11ee962028c2dd2980ba,10,2,4,3,Huohuo,Kafka,Tingyun,Clara
d9d3f89ce67b11ee930f28c2dd2980ba,12,1,14,1,Kafka,Lynx,Black Swan,Silver Wolf
d9d3f89ce67b11ee930f28c2dd2980ba,12,2,14,1,Jingliu,Bailu,Pela,Tingyun
d9d3f89ce67b11ee930f28c2dd2980ba,11,1,9,3,Kafka,Lynx,Sampo,Silver Wolf
d9d3f89ce67b11ee930f28c2dd2980ba,11,2,9,3,Black Swan,Bailu,Asta,Serval
d9d3f89ce67b11ee930f28c2dd2980ba,10,1,5,3,Jingliu,Bailu,Pela,Tingyun
