uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,buff
0b6e87a8f2f011eeba2228c2dd2980ba,4,1,40000,3,Argenti,Herta,Ruan Mei,Huohuo,Splash
0b6e87a8f2f011eeba2228c2dd2980ba,4,2,40000,3,Acheron,Black Swan,Bronya,Sparkle,Splash
0b6e87a9f2f011ee922f28c2dd2980ba,4,1,24336,3,Huohuo,Tingyun,Herta,Sparkle,Splash
0b6e87a9f2f011ee922f28c2dd2980ba,4,2,40000,3,Acheron,Black Swan,Ruan Mei,Kafka,Sympathetic Detonation
0b6e87aaf2f011ee977d28c2dd2980ba,4,1,37077,3,Huohuo,Sparkle,Ruan Mei,Dan Heng • Imbibitor Lunae,Splash
0b6e87aaf2f011ee977d28c2dd2980ba,4,2,40000,3,Fu Xuan,Bronya,Acheron,Silver Wolf,Sympathetic Detonation
0b6e87abf2f011ee94c428c2dd2980ba,4,1,40000,3,Argenti,Tingyun,Herta,Asta,Splash
0b6e87abf2f011ee94c428c2dd2980ba,4,2,31613,3,Jing Yuan,Pela,Sparkle,Blade,Sympathetic Detonation
0b6e87acf2f011ee8da028c2dd2980ba,4,1,40000,3,Argenti,Asta,Huohuo,Tingyun,Splash
0b6e87acf2f011ee8da028c2dd2980ba,4,2,40000,3,Acheron,Himeko,Silver Wolf,Sparkle,Sympathetic Detonation
0b6e87adf2f011eeb6da28c2dd2980ba,4,1,40000,3,Fire Trailblazer,Bronya,Pela,Acheron,Sympathetic Detonation
0b6e87adf2f011eeb6da28c2dd2980ba,4,2,40000,3,Huohuo,Sparkle,Black Swan,Kafka,Inducement
0b6e87aef2f011eeb35a28c2dd2980ba,4,1,40000,3,Fu Xuan,Acheron,Sparkle,Herta,Sympathetic Detonation
0b6e87aef2f011eeb35a28c2dd2980ba,4,2,40000,3,Huohuo,Black Swan,Kafka,Ruan Mei,Splash
0b6e87aff2f011eebfdf28c2dd2980ba,4,1,24925,2,Ruan Mei,Herta,Fu Xuan,Argenti,Splash
0b6e87aff2f011eebfdf28c2dd2980ba,4,2,32379,2,Kafka,Black Swan,Guinaifen,Acheron,Splash
0b6e87b0f2f011eeb25228c2dd2980ba,4,1,28840,3,Jingliu,Ruan Mei,Herta,Fu Xuan,Inducement
0b6e87b0f2f011eeb25228c2dd2980ba,4,2,33753,3,Kafka,Black Swan,Tingyun,Bailu,Inducement
0b6e87b1f2f011ee88b328c2dd2980ba,4,1,24570,2,Herta,Sparkle,Ruan Mei,Fu Xuan,Splash
0b6e87b1f2f011ee88b328c2dd2980ba,4,2,27980,2,Argenti,Tingyun,Bronya,Huohuo,Splash
0b6e87b2f2f011eeb36228c2dd2980ba,4,1,34910,3,Jingliu,Bronya,Sparkle,Fu Xuan,Splash
0b6e87b2f2f011eeb36228c2dd2980ba,4,2,40000,3,Ruan Mei,Luocha,Acheron,Black Swan,Splash
0b6e87b3f2f011eeb01728c2dd2980ba,4,1,40000,3,Argenti,Herta,Ruan Mei,Tingyun,Splash
0b6e87b3f2f011eeb01728c2dd2980ba,4,2,29503,3,Acheron,Silver Wolf,Fu Xuan,Bronya,Sympathetic Detonation
