uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4,buff
d94e27f3781111efb5fd8878734f76cf,4,1,3121,2,Jingliu,Blade,Ruan Mei,Luocha,0.0,0.0,1.0,1.0,Grand Gamble
d94e27f3781111efb5fd8878734f76cf,4,2,3268,2,Acheron,Jiaoqiu,Sparkle,Aventurine,0.0,1.0,0.0,0.0,Sweeping Force
d94e27f4781111efa6aa8878734f76cf,4,1,2999,1,Kafka,Fu Xuan,Black Swan,Acheron,0.0,0.0,0.0,0.0,Pursue and Eliminate
d94e27f4781111efa6aa8878734f76cf,4,2,1255,1,Luocha,Ruan Mei,Firefly,Imaginary Trailblazer,0.0,0.0,1.0,6.0,Tangled Chaos
d94e27f5781111ef92958878734f76cf,4,1,3435,2,Feixiao,Fu Xuan,Imaginary March 7th,Robin,0.0,0.0,6.0,0.0,Turn of Luck
d94e27f5781111ef92958878734f76cf,4,2,3099,2,Jiaoqiu,Kafka,Gepard,Acheron,0.0,0.0,0.0,0.0,Sweeping Force
d94e27f6781111ef8af98878734f76cf,4,1,3164,3,Sparkle,Silver Wolf,Fu Xuan,Seele,0.0,0.0,0.0,0.0,Pursue and Eliminate
d94e27f6781111ef8af98878734f76cf,4,2,3496,3,Acheron,Black Swan,Aventurine,Jiaoqiu,0.0,0.0,0.0,0.0,Barren of Life
d94e27f7781111ef808c8878734f76cf,4,1,3329,1,Feixiao,Acheron,Robin,Aventurine,0.0,0.0,0.0,0.0,Turn of Luck
d94e27f7781111ef808c8878734f76cf,4,2,1119,1,Kafka,Jing Yuan,Huohuo,Black Swan,0.0,0.0,0.0,0.0,Barren of Life
d94e27f8781111efaa198878734f76cf,4,1,874,1,Jingliu,Bronya,Herta,Gepard,0.0,0.0,5.0,1.0,Grand Gamble
d94e27f8781111efaa198878734f76cf,4,2,3232,1,Feixiao,Imaginary March 7th,Ruan Mei,Fu Xuan,0.0,5.0,0.0,0.0,Sweeping Force
d94e4dba781111ef825c8878734f76cf,4,1,3602,3,Feixiao,Robin,Imaginary March 7th,Aventurine,0.0,0.0,3.0,1.0,Turn of Luck
d94e4dba781111ef825c8878734f76cf,4,2,3279,3,Acheron,Jiaoqiu,Sparkle,Luocha,2.0,0.0,0.0,1.0,Sweeping Force
d94e4dbb781111ef863e8878734f76cf,4,1,2961,2,Imaginary March 7th,Yunli,Acheron,Fu Xuan,6.0,1.0,2.0,0.0,Turn of Luck
d94e4dbb781111ef863e8878734f76cf,4,2,3209,2,Yukong,Feixiao,Topaz & Numby,Aventurine,6.0,0.0,1.0,0.0,Sweeping Force
d94e4dbc781111efaafa8878734f76cf,4,1,670,0,Acheron,Kafka,Fu Xuan,Pela,0.0,0.0,0.0,6.0,Pursue and Eliminate
d94e4dbc781111efaafa8878734f76cf,4,2,0,0,,,,,,,,,
d94e4dbd781111efa2158878734f76cf,4,1,3195,1,Kafka,Black Swan,Robin,Fu Xuan,1.0,0.0,0.0,0.0,Turn of Luck
d94e4dbd781111efa2158878734f76cf,4,2,1218,1,Feixiao,Imaginary March 7th,Lynx,Imaginary Trailblazer,0.0,6.0,1.0,6.0,Sweeping Force
d94e4dbe781111ef965d8878734f76cf,4,1,0,0,Feixiao,Robin,Imaginary March 7th,Gepard,0.0,0.0,6.0,0.0,Turn of Luck
d94e4dbe781111ef965d8878734f76cf,4,2,0,0,,,,,,,,,
d94e4dbf781111ef81f48878734f76cf,4,1,3475,3,Huohuo,Jingliu,Sparkle,Tingyun,0.0,0.0,0.0,6.0,Grand Gamble
d94e4dbf781111ef81f48878734f76cf,4,2,3375,3,Gallagher,Firefly,Imaginary Trailblazer,Ruan Mei,6.0,0.0,2.0,0.0,Sweeping Force
d94e4dc0781111efa7768878734f76cf,4,1,3479,3,Aventurine,Robin,Topaz & Numby,Feixiao,0.0,0.0,0.0,0.0,Turn of Luck
d94e4dc0781111efa7768878734f76cf,4,2,3454,3,Gallagher,Ruan Mei,Imaginary Trailblazer,Firefly,6.0,0.0,6.0,0.0,Tangled Chaos
d94e4dc1781111ef82f68878734f76cf,4,1,3055,2,Black Swan,Kafka,Robin,Luocha,0.0,0.0,0.0,0.0,Pursue and Eliminate
d94e4dc1781111ef82f68878734f76cf,4,2,3313,2,Imaginary Trailblazer,Firefly,Ruan Mei,Gallagher,6.0,0.0,0.0,6.0,Tangled Chaos
d94e4dc2781111ef96e08878734f76cf,4,1,3393,3,Jingliu,Bronya,Ruan Mei,Lynx,0.0,1.0,0.0,6.0,Grand Gamble
d94e4dc2781111ef96e08878734f76cf,4,2,3495,3,Acheron,Pela,Jiaoqiu,Gallagher,0.0,6.0,0.0,3.0,Sweeping Force
d94e4dc3781111ef95e18878734f76cf,4,1,3242,3,Kafka,Pela,Acheron,Fu Xuan,0.0,5.0,0.0,0.0,Pursue and Eliminate
d94e4dc3781111ef95e18878734f76cf,4,2,3422,3,Firefly,Imaginary Trailblazer,Ruan Mei,Gallagher,0.0,6.0,1.0,3.0,Tangled Chaos
d94e4dc4781111ef8f1a8878734f76cf,4,1,2871,0,Yunli,Robin,Jing Yuan,Huohuo,0.0,0.0,0.0,0.0,Turn of Luck
d94e4dc4781111ef8f1a8878734f76cf,4,2,1019,0,Firefly,Ruan Mei,Imaginary Trailblazer,Gallagher,0.0,0.0,6.0,6.0,Sweeping Force
d94e4dc5781111efb9ad8878734f76cf,4,1,3217,3,Jingliu,Sparkle,Herta,Gepard,0.0,0.0,6.0,2.0,Grand Gamble
d94e4dc5781111efb9ad8878734f76cf,4,2,3468,3,Kafka,Black Swan,Jiaoqiu,Luocha,2.0,0.0,0.0,0.0,Barren of Life
d94e4dc6781111efb1f28878734f76cf,4,1,3511,3,Feixiao,Imaginary March 7th,Sparkle,Fu Xuan,0.0,5.0,0.0,1.0,Turn of Luck
d94e4dc6781111efb1f28878734f76cf,4,2,3478,3,Firefly,Ruan Mei,Imaginary Trailblazer,Gallagher,1.0,0.0,6.0,6.0,Barren of Life
d94e4dc7781111ef8ab88878734f76cf,4,1,3372,3,Robin,Luocha,Bronya,Jingliu,0.0,0.0,2.0,0.0,Grand Gamble
d94e4dc7781111ef8ab88878734f76cf,4,2,3521,3,Kafka,Black Swan,Ruan Mei,Gallagher,0.0,0.0,1.0,6.0,Barren of Life
d94e4dc8781111efb11d8878734f76cf,4,1,3227,2,Feixiao,Jing Yuan,Jingliu,Luocha,0.0,0.0,0.0,0.0,Turn of Luck
d94e4dc8781111efb11d8878734f76cf,4,2,3183,2,Acheron,Blade,Jiaoqiu,Huohuo,0.0,0.0,0.0,1.0,Sweeping Force
d94e4dc9781111ef82638878734f76cf,4,1,2979,2,Qingque,Silver Wolf,Sparkle,Fu Xuan,6.0,2.0,0.0,0.0,Turn of Luck
d94e4dc9781111ef82638878734f76cf,4,2,3276,2,Firefly,Imaginary Trailblazer,Ruan Mei,Gallagher,2.0,6.0,0.0,6.0,Tangled Chaos
d94e4dca781111ef96288878734f76cf,4,1,3353,1,Seele,Sparkle,Silver Wolf,Fu Xuan,0.0,0.0,0.0,0.0,Pursue and Eliminate
d94e4dca781111ef96288878734f76cf,4,2,1055,1,Kafka,Black Swan,Ruan Mei,Huohuo,0.0,0.0,0.0,0.0,Sweeping Force
