uid,floor,node,round_num,star_num,ch1,ch2,ch3,ch4,cons1,cons2,cons3,cons4,buff
c6fd6576274611f093278878734f76cf,4,1,28320,3,Acheron,Jiaoqiu,Pela,Gallagher,0,0.0,6.0,6.0,Empty Air
c6fd6576274611f093278878734f76cf,4,2,40000,3,Jing Yuan,Sunday,Robin,Huohuo,0,1.0,1.0,0.0,Empty Air
c6fd6685274611f0a19a8878734f76cf,4,1,40000,3,Rappa,Imaginary Trailblazer,Ruan Mei,Fugue,0,6.0,1.0,0.0,Hollow Hope
c6fd6685274611f0a19a8878734f76cf,4,2,40000,3,Tribbie,Mydei,Sunday,Luocha,1,1.0,0.0,0.0,Hierophany
c6fd6884274611f097b68878734f76cf,4,1,27800,3,Robin,Himeko,Herta,Luocha,1,2.0,6.0,0.0,Empty Air
c6fd6884274611f097b68878734f76cf,4,2,40000,3,Gallagher,Tribbie,Ice Trailblazer,Castorice,6,0.0,6.0,0.0,Hierophany
c6fd6926274611f0904a8878734f76cf,4,1,28440,3,Acheron,Pela,Gallagher,Jiaoqiu,0,6.0,3.0,0.0,Empty Air
c6fd6926274611f0904a8878734f76cf,4,2,36040,3,Jade,Fu Xuan,Tribbie,Sunday,1,1.0,0.0,0.0,Empty Air
c6fd69bd274611f088b58878734f76cf,4,1,29720,3,Fugue,Firefly,Lingsha,Ruan Mei,0,2.0,0.0,0.0,Hollow Hope
c6fd69bd274611f088b58878734f76cf,4,2,40000,3,Ice Trailblazer,Castorice,Gallagher,Tribbie,4,2.0,6.0,0.0,Hierophany
c6fd6a53274611f095368878734f76cf,4,1,40000,3,Acheron,Sparkle,Aventurine,Jiaoqiu,2,2.0,0.0,0.0,Empty Air
c6fd6a53274611f095368878734f76cf,4,2,40000,3,Castorice,Tribbie,Ice Trailblazer,Gallagher,2,0.0,6.0,6.0,Hierophany
c6fd6b7f274611f08b548878734f76cf,4,1,32040,3,The Herta,Aventurine,Jade,Robin,0,0.0,0.0,0.0,Empty Air
c6fd6b7f274611f08b548878734f76cf,4,2,31080,3,Castorice,Tribbie,Luocha,Ice Trailblazer,0,0.0,0.0,6.0,Hierophany
c6fd6d65274611f0b9b28878734f76cf,4,1,40000,3,Silver Wolf,Rappa,Ruan Mei,Fugue,0,2.0,1.0,1.0,Hollow Hope
c6fd6d65274611f0b9b28878734f76cf,4,2,40000,3,Serval,The Herta,Ice Trailblazer,Fu Xuan,6,2.0,6.0,2.0,Empty Air
