uid,player_level,character,char_level,path,light_cone,light_cone_level,attack_lvl,skill_lvl,ultimate_lvl,talent_lvl,HP,ATK,DEF,SPD,CRIT Rate,CRIT DMG,DMG Boost,Outgoing Healing Boost,Energy Regeneration Rate,Effect RES,Effect Hit Rate,Break Effect,relic,ornament
05ac10a4219f11ee8f1c28c2dd2980ba,58,Clara,69,Destruction,On the Fall of an Aeon,60.0,3,4,7,7,2604.657,2560.86,909.72,92.3,58.554,114.411,52.08,0.0,0.0,10.368,0.0,0.0,Champion of Streetwise Boxing,Inert Salsotto
05ac10a4219f11ee8f1c28c2dd2980ba,58,Bailu,60,Abundance,Post-Op Conversation,60.0,2,4,5,3,3401.415,943.529,764.018,105.6,5.0,76.179,0.0,29.907,8.0,5.789,3.11,15.552,Passerby of Wandering Cloud,
05ac10a4219f11ee8f1c28c2dd2980ba,58,Seele,69,The Hunt,In the Night,70.0,4,8,8,8,2905.834,2507.319,900.569,115.0,53.356,164.777,48.88,0.0,0.0,3.456,23.328,23.976,Genius of Brilliant Stars,Inert Salsotto
05ac10a4219f11ee8f1c28c2dd2980ba,58,Yanqing,69,The Hunt,River Flows in Spring,60.0,3,4,7,8,2480.781,2445.182,731.448,109.0,30.078,142.178,52.08,0.0,0.0,27.648,6.998,0.0,Hunter of Glacial Forest,Celestial Differentiator
05ac10a5219f11eea77528c2dd2980ba,61,Seele,80,The Hunt,In the Night,80.0,6,10,10,10,2951.42,3041.128,1288.203,127.1,73.868,123.118,48.88,0.0,0.0,7.43,7.776,5.184,Genius of Brilliant Stars,Space Sealing Station
05ac10a5219f11eea77528c2dd2980ba,61,Silver Wolf,71,Nihility,Before the Tutorial Mission Starts,70.0,2,8,8,8,2303.207,1442.064,902.724,132.032,7.592,93.13,13.2,0.0,12.939,15.984,76.243,43.605,"Genius of Brilliant Stars, Thief of Shooting Meteor",Pan-Galactic Commercial Enterprise
05ac10a6219f11eea9d428c2dd2980ba,60,Seele,80,The Hunt,In the Night,80.0,4,6,8,6,3096.703,2998.541,1042.924,117.0,79.924,98.94,48.88,0.0,0.0,23.76,19.44,35.64,Genius of Brilliant Stars,Inert Salsotto
05ac10a6219f11eea9d428c2dd2980ba,60,Clara,60,Destruction,On the Fall of an Aeon,70.0,1,4,5,4,2236.374,1819.11,969.008,90.0,21.1,61.664,19.421,0.0,0.0,9.677,3.456,10.498,Champion of Streetwise Boxing,Inert Salsotto
05ac10a6219f11eea9d428c2dd2980ba,60,Jing Yuan,70,Erudition,The Birth of the Self,70.0,3,6,7,8,2937.022,2346.417,844.368,117.032,28.772,123.613,10.0,0.0,0.0,7.776,15.12,37.584,Band of Sizzling Thunder,Inert Salsotto
05ac10a6219f11eea9d428c2dd2980ba,60,Yanqing,70,The Hunt,Cruising in the Stellar Sea,70.0,3,6,7,6,1806.988,2290.066,951.883,129.832,32.979,137.194,10.0,0.0,0.0,10.454,7.344,22.68,"Hunter of Glacial Forest, Musketeer of Wild Wheat",Inert Salsotto
05ac10a7219f11ee969728c2dd2980ba,60,Seele,80,The Hunt,In the Night,70.0,4,7,8,6,2664.227,2338.266,949.049,146.632,54.004,168.924,48.88,0.0,0.0,26.784,11.232,40.824,Genius of Brilliant Stars,Inert Salsotto
05ac10a7219f11ee969728c2dd2980ba,60,Bailu,60,Abundance,Post-Op Conversation,60.0,2,6,5,4,3800.728,894.623,827.344,98.0,9.406,69.699,0.0,28.358,10.0,10.8,7.43,11.664,Passerby of Wandering Cloud,Fleet of the Ageless
05ac10a7219f11ee969728c2dd2980ba,60,Bronya,60,Harmony,Past and Future,50.0,2,7,7,4,2051.726,1329.968,798.187,122.026,9.666,150.978,16.4,0.0,0.0,0.0,24.97,20.866,"Eagle of Twilight Line, Musketeer of Wild Wheat",Celestial Differentiator
05ac10a7219f11ee969728c2dd2980ba,60,Welt,70,Nihility,Resolution Shines As Pearls of Sweat,60.0,5,7,7,6,2595.694,1932.49,802.632,125.432,51.98,84.992,45.548,0.0,0.0,4.32,42.4,29.16,Wastelander of Banditry Desert,Pan-Galactic Commercial Enterprise
05ac10a8219f11eea14128c2dd2980ba,60,Seele,80,The Hunt,Cruising in the Stellar Sea,79.0,5,8,8,8,2917.037,3266.884,1012.289,115.0,70.148,109.956,48.88,0.0,0.0,19.008,12.096,62.856,"Genius of Brilliant Stars, Musketeer of Wild Wheat",Inert Salsotto
05ac10a8219f11eea14128c2dd2980ba,60,Trailblazer,70,Preservation,Trend of the Universal Market,70.0,5,9,8,8,3289.208,1366.468,3101.589,106.8,15.174,50.0,0.0,0.0,0.0,11.232,9.677,18.144,Musketeer of Wild Wheat,Belobog of the Architects
05ac10a8219f11eea14128c2dd2980ba,60,Welt,70,Nihility,Loop,70.0,5,8,8,8,3054.768,2140.676,876.656,102.0,10.184,93.416,18.0,0.0,19.439,7.456,60.614,10.627,"Musketeer of Wild Wheat, Wastelander of Banditry Desert",Pan-Galactic Commercial Enterprise
05ac10a8219f11eea14128c2dd2980ba,60,Silver Wolf,70,Nihility,Before the Tutorial Mission Starts,70.0,5,8,8,8,4192.542,2356.698,815.104,132.032,16.988,72.68,13.2,0.0,0.0,11.232,75.552,29.16,Genius of Brilliant Stars,Pan-Galactic Commercial Enterprise
05ac10a9219f11eeb04528c2dd2980ba,61,Silver Wolf,70,Nihility,Before the Tutorial Mission Starts,60.0,1,6,7,5,2810.27,1606.702,737.869,132.032,19.904,68.144,52.08,0.0,0.0,19.44,65.984,46.008,Genius of Brilliant Stars,Fleet of the Ageless
05ac10a9219f11eeb04528c2dd2980ba,61,Bronya,71,Harmony,Past and Future,60.0,2,8,7,4,3007.599,1282.802,866.43,129.366,5.0,162.547,11.2,0.0,19.439,7.11,16.243,21.514,Musketeer of Wild Wheat,Fleet of the Ageless
05ac10a9219f11eeb04528c2dd2980ba,61,Seele,80,The Hunt,In the Night,80.0,5,10,9,8,2805.47,3356.811,1090.979,115.0,67.064,112.88,48.88,0.0,0.0,37.152,15.552,22.032,Genius of Brilliant Stars,Space Sealing Station
05ac10aa219f11ee9f6d28c2dd2980ba,61,Asta,70,Harmony,Memories of the Past,64.0,2,4,5,5,2423.216,1276.602,960.269,123.826,12.366,65.682,20.977,0.0,5.0,6.912,7.344,95.123,Thief of Shooting Meteor,Sprightly Vonwacq
05ac10aa219f11ee9f6d28c2dd2980ba,61,Seele,79,The Hunt,Cruising in the Stellar Sea,70.0,5,8,8,8,2729.768,2685.213,982.843,117.3,46.06,144.948,37.994,0.0,0.0,22.464,14.688,15.552,Genius of Brilliant Stars,Inert Salsotto
05ac10aa219f11ee9f6d28c2dd2980ba,61,Trailblazer,70,Preservation,Landau's Choice,60.0,3,5,7,6,2607.118,1272.273,1514.462,115.332,22.82,56.48,0.0,0.0,0.0,12.096,35.942,0.0,Guard of Wuthering Snow,Belobog of the Architects
05ac10aa219f11ee9f6d28c2dd2980ba,61,Silver Wolf,70,Nihility,Before the Tutorial Mission Starts,70.0,4,5,7,5,2621.57,2601.522,954.989,132.032,7.592,84.992,39.078,0.0,0.0,0.0,53.456,45.49,"Genius of Brilliant Stars, Musketeer of Wild Wheat",Space Sealing Station
05ac10ab219f11eeb81a28c2dd2980ba,61,Gepard,70,Preservation,Texture of Memories,70.0,4,7,7,6,2999.624,1156.793,2526.085,97.6,15.757,70.218,11.2,0.0,0.0,23.875,8.64,5.832,Knight of Purity Palace,Belobog of the Architects
05ac10ab219f11eeb81a28c2dd2980ba,61,Seele,80,The Hunt,Cruising in the Stellar Sea,80.0,5,7,7,8,2606.77,2851.764,982.051,122.5,25.053,128.1,10.0,0.0,0.0,10.454,0.0,33.178,Genius of Brilliant Stars,Space Sealing Station
05ac10ab219f11eeb81a28c2dd2980ba,61,Tingyun,70,Harmony,"Carve the Moon, Weave the Clouds",70.0,5,7,9,7,2309.166,1687.681,686.038,131.146,5.0,61.664,3.2,0.0,7.714,6.912,0.0,5.184,Musketeer of Wild Wheat,Fleet of the Ageless
05ac10ab219f11eeb81a28c2dd2980ba,61,Natasha,70,Abundance,Cornucopia,70.0,5,9,7,7,3890.374,999.344,789.327,100.0,5.0,69.181,0.0,33.003,0.0,22.442,17.971,0.0,Passerby of Wandering Cloud,Fleet of the Ageless
05ac10ac219f11ee840e28c2dd2980ba,60,Seele,80,The Hunt,In the Night,70.0,4,6,7,7,3236.098,2465.064,799.864,140.032,69.232,120.972,48.88,0.0,0.0,11.232,25.92,40.824,Genius of Brilliant Stars,Inert Salsotto
05ac10ac219f11ee840e28c2dd2980ba,60,Welt,70,Nihility,Good Night and Sleep Well,60.0,3,6,6,5,2733.851,1979.557,724.956,108.9,31.144,68.144,52.08,0.0,0.0,18.688,66.96,11.016,Wastelander of Banditry Desert,Inert Salsotto
05ac10ac219f11ee840e28c2dd2980ba,60,Bronya,76,Harmony,But the Battle Isn't Over,60.0,3,8,8,4,4073.834,1652.133,870.992,99.0,13.424,193.124,11.2,0.0,29.439,19.552,8.208,18.792,Guard of Wuthering Snow,Celestial Differentiator
05ac10ac219f11ee840e28c2dd2980ba,60,Silver Wolf,71,Nihility,Incessant Rain,60.0,2,6,6,6,2628.902,2486.745,1143.226,109.3,24.34,114.8,45.548,0.0,0.0,23.76,60.784,11.664,Genius of Brilliant Stars,Inert Salsotto
05ac10ad219f11eebe7b28c2dd2980ba,61,Silver Wolf,80,Nihility,Incessant Rain,80.0,4,10,10,8,3155.047,1900.363,1275.553,111.6,10.832,50.0,47.726,0.0,0.0,12.528,109.888,24.624,Genius of Brilliant Stars,Pan-Galactic Commercial Enterprise
05ac10ad219f11eebe7b28c2dd2980ba,61,Clara,70,Destruction,The Moles Welcome You,60.0,2,4,4,4,2374.242,1392.787,735.516,91.6,6.75,93.13,44.526,0.0,0.0,16.07,3.888,25.531,Champion of Streetwise Boxing,
05ac10ad219f11eebe7b28c2dd2980ba,61,Trailblazer,70,Preservation,Landau's Choice,50.0,3,6,6,6,1929.189,935.93,1732.707,103.9,13.1,50.0,0.0,0.0,0.0,32.832,8.208,5.832,Guard of Wuthering Snow,Belobog of the Architects
05ac10ad219f11eebe7b28c2dd2980ba,61,Seele,80,The Hunt,Cruising in the Stellar Sea,80.0,5,10,9,9,2669.993,3010.27,1143.575,123.6,73.064,85.98,48.88,0.0,0.0,22.896,3.456,46.008,Genius of Brilliant Stars,Inert Salsotto
