uid,player_level,character,char_level,path,light_cone,light_cone_level,attack_lvl,skill_lvl,ultimate_lvl,talent_lvl,HP,ATK,DEF,SPD,CRIT Rate,CRIT DMG,DMG Boost,Outgoing Healing Boost,Energy Regeneration Rate,Effect RES,Effect Hit Rate,Break Effect,SPD sub,HP sub,ATK sub,DEF sub,CRIT Rate sub,CRIT DMG sub,Effect RES sub,Effect Hit Rate sub,Break Effect sub,Body,Feet,Sphere,Rope,relic,ornament
4130d93956df11efb9d828c2dd2980ba,70,Himeko,80,Fire,Today Is Another Peaceful Day,80.0,2,10,10,10,2714.447,2670.745,876.697,139.132,61.276,160.808,61.28,0.0,0.0,0.0,10.368,0.0,18.1,0.0,12.96,4.32,48.276,46.008,0.0,10.368,0.0,CRIT DMG,SPD,Fire DMG Boost,ATK,The Ashblazing Grand Duke,Inert Salsotto
4130d93956df11efb9d828c2dd2980ba,70,Jade,80,Quantum,Yet Hope Is Priceless,80.0,6,9,10,10,3330.563,3138.195,1139.503,114.08,90.56,131.648,61.28,0.0,0.0,10.0,7.776,17.496,4.9,23.328,15.12,9.72,29.16,81.648,0.0,7.776,17.496,CRIT Rate,ATK,Quantum DMG Boost,ATK,"Messenger Traversing Hackerspace, The Ashblazing Grand Duke",Inert Salsotto
4130d93956df11efb9d828c2dd2980ba,70,Ruan Mei,80,Ice,Past Self in Mirror,80.0,6,10,10,10,3246.126,1896.168,2501.301,155.032,5.0,56.48,0.0,0.0,24.439,8.208,19.008,180.692,21.0,14.688,26.784,10.26,0.0,6.48,8.208,19.008,67.392,DEF,SPD,DEF,Energy Regeneration Rate,"Watchmaker, Master of Dream Machinations",Sprightly Vonwacq
4130d93956df11efb9d828c2dd2980ba,70,Black Swan,80,Wind,Reforged Remembrance,80.0,6,10,10,10,3314.105,2866.538,1205.675,152.832,19.904,50.0,53.28,0.0,0.0,7.776,131.648,5.832,25.8,12.528,4.32,18.9,14.904,0.0,7.776,38.448,5.832,Effect Hit Rate,SPD,Wind DMG Boost,ATK,Prisoner in Deep Confinement,Firmament Frontline: Glamoth
4130d93956df11efb9d828c2dd2980ba,70,Robin,80,Physical,For Tomorrow's Journey,80.0,3,10,10,10,3731.936,4137.638,1114.626,128.9,5.0,50.0,0.0,0.0,24.439,19.872,7.776,22.68,21.9,29.808,15.12,27.54,0.0,0.0,19.872,7.776,22.68,ATK,ATK,ATK,Energy Regeneration Rate,"Musketeer of Wild Wheat, Prisoner in Deep Confinement",Sprightly Vonwacq
4130d93956df11efb9d828c2dd2980ba,70,Sampo,20,Wind,Eyes of the Prey,80.0,1,1,1,1,2426.214,1350.47,502.134,161.052,14.396,61.664,0.0,0.0,19.439,0.0,127.016,16.0,27.9,18.576,29.808,9.72,9.396,11.664,0.0,48.816,0.0,Effect Hit Rate,SPD,Fire DMG Boost,Energy Regeneration Rate,"Messenger Traversing Hackerspace, Prisoner in Deep Confinement",Talia: Kingdom of Banditry
4130d93956df11efb9d828c2dd2980ba,70,Kafka,80,Lightning,Good Night and Sleep Well,80.0,2,10,10,10,2896.826,3469.376,1126.413,152.932,16.34,72.68,38.88,0.0,0.0,3.456,25.776,11.664,27.9,3.456,18.144,31.32,11.34,22.68,3.456,7.776,11.664,ATK,SPD,Lightning DMG Boost,ATK,Prisoner in Deep Confinement,Firmament Frontline: Glamoth
4130d93956df11efb9d828c2dd2980ba,70,Blade,80,Wind,The Unreachable Side,80.0,6,10,10,10,6490.951,1560.884,970.046,135.832,64.384,167.288,38.88,0.0,0.0,22.096,30.24,16.2,13.8,11.664,7.344,18.9,21.384,52.488,12.096,30.24,16.2,CRIT DMG,SPD,Wind DMG Boost,HP,Longevous Disciple,Rutilant Arena
4130d93a56df11efb70628c2dd2980ba,70,Ruan Mei,80,Ice,Past Self in Mirror,80.0,6,10,10,10,4321.757,2299.911,1513.048,134.032,13.1,50.0,0.0,0.0,24.439,18.144,0.0,187.82,0.0,15.12,8.64,17.28,8.1,0.0,18.144,0.0,74.52,ATK,SPD,HP,Energy Regeneration Rate,"Watchmaker, Master of Dream Machinations",Sprightly Vonwacq
4130d93a56df11efb70628c2dd2980ba,70,Firefly,80,Fire,Whereabouts Should Dreams Rest,80.0,6,10,10,10,3259.424,2505.366,1392.784,149.772,11.156,56.48,0.0,0.0,0.0,34.416,19.872,225.404,9.5,15.984,12.096,5.4,6.156,6.48,16.416,19.872,47.304,ATK,SPD,ATK,Break Effect,Iron Cavalry Against the Scourge,Forge of the Kalpagni Lantern
4130d93a56df11efb70628c2dd2980ba,70,Acheron,80,Lightning,Along the Passing Shore,80.0,6,10,10,10,3271.901,2908.12,952.609,130.632,59.544,203.312,46.88,0.0,0.0,8.208,0.0,31.752,4.6,8.208,0.0,9.72,18.144,93.312,8.208,0.0,31.752,CRIT Rate,SPD,Lightning DMG Boost,ATK,Pioneer Diver of Dead Waters,Izumo Gensei and Takama Divine Realm
